fois,раз 
madame,госпожа 
paix,мир 
voix,голос 
affaire,дело 
année,год 
arme,оружие 
armée,армия 
attention,внимание 
balle,мяч 
boîte,ящик 
bouche,рот 
carte,карта 
cause,причина 
chambre,комната 
chance,удача 
chose,вещь 
classe,класс 
confiance,доверие 
couleur,цвет 
cour,двор 
cuisine,кухня 
dame,женщина 
dent,зуб 
droite,правая сторона 
école,школа 
église,церковь 
envie,желание 
épaule,плечо 
époque,эпоха 
équipe,отряд 
erreur,ошибка 
espèce,порода 
face,лицо 
façon,фасон 
faim,голод 
famille,семья 
faute,ошибка 
femme,женщина 
fenêtre,окно 
fête,праздник 
fille,дочь 
fleur,цветок 
force,сила 
forme,форма 
guerre,война 
gueule,горло
